,PDB,RSCCS_med,RSCCS_mean,OPIA_med,OPIA_mean,EDIA_med,EDIA_mean,RSR_med,RSR_mean,SRSR_med,SRSR_mean
0,102D,0.9662865,0.9652334166666666,66.6667,67.40393333333334,0.823468,0.8026440833333334,0.04976205,0.04819910833333333,0.006006585,0.006063190833333333
1,108M,0.978038,0.9755820000000001,28.5714,35.396811111111106,0.609625,0.5570557777777778,0.0348093,0.0389984,0.012043,0.01139008888888889
2,109D,0.9731935,0.9700029166666666,80.0,80.18389166666667,0.8735390000000001,0.8692765000000001,0.045690949999999994,0.04818465833333333,0.005435255,0.0054821424999999995
3,10GS,0.983776,0.9795969411764704,75.0,76.2361,0.866959,0.8295405882352941,0.034193,0.03828220588235294,0.00744831,0.00850378117647059
4,110D,0.925218,0.9240533333333333,68.4211,73.84373333333333,0.832632,0.801683,0.0676478,0.06657586666666666,0.00993051,0.009806053333333333
5,11GS,0.958853,0.9609413846153845,63.6364,62.32656153846154,0.801064,0.8100026153846154,0.0499804,0.04881324615384615,0.0114056,0.011803149230769232
6,12GS,0.975236,0.9705283684210526,85.7143,80.10177894736842,0.885671,0.8659126315789474,0.0438337,0.047352468421052625,0.0104185,0.011121779473684208
7,13GS,0.981592,0.9665965,100.0,89.10714,0.9980784999999999,0.9024241499999999,0.03528625,0.041272699999999996,0.00724151,0.008036982
8,166D,0.9498405,0.9480757142857142,54.77275,54.77535,0.7643265,0.7589025714285714,0.0620487,0.06209913571428572,0.007122685,0.00725097
9,172L,0.956743,0.9447958181818182,100.0,87.3966909090909,1.04147,0.9227735454545456,0.0551833,0.06846338181818183,0.0104265,0.011320414545454545
10,17GS,0.984325,0.980736,100.0,93.41737058823529,1.03248,0.9718607647058825,0.0307951,0.032726358823529415,0.00591016,0.006741846470588235
11,184L,0.988875,0.9848947333333334,100.0,94.48412666666667,1.00312,0.9597622666666666,0.0298352,0.03700911333333333,0.00514885,0.005294396666666667
12,186L,0.987329,0.9794668666666666,100.0,90.58441333333333,1.00219,0.9438610666666668,0.0328816,0.046092086666666664,0.00591626,0.006121882666666666
13,18GS,0.9842455,0.9781715625,100.0,98.5389625,1.028845,1.0122395,0.03130635,0.036201075,0.0066458,0.006805094374999999
14,190L,0.984193,0.98504425,100.0,100.0,1.071075,1.071630833333333,0.03105545,0.031166758333333332,0.00611859,0.006265869166666667
15,1914,0.967277,0.9584586363636363,33.3333,32.99881,0.623132,0.5971483636363637,0.0628259,0.06522603636363637,0.0137218,0.014436672727272728
16,195D,0.949114,0.9413023846153846,57.1429,56.537600000000005,0.734301,0.7210174615384617,0.0539751,0.0576828,0.00953371,0.009631636923076921
17,19GS,0.963444,0.9540579999999999,75.0,72.198175,0.856626,0.7415356666666666,0.05308485,0.06188543333333333,0.008379725000000001,0.009431562500000002
18,1A07,0.9771380000000001,0.9709705625,50.0,53.46251875,0.770065,0.704819375,0.05604775,0.055260199999999995,0.008441734999999999,0.008743984375
19,1A08,0.984229,0.9829891176470589,57.1429,53.68200058823529,0.743719,0.7094778823529412,0.0406065,0.0410549,0.00667735,0.007258227058823529
20,1A09,0.9734,0.9737392105263156,87.5,83.79357894736842,0.92962,0.9174515263157893,0.044075,0.04353174736842105,0.00827764,0.00870329842105263
